zh-CN,,
PublicSquare_desc,中央广场四周都是餐厅和店铺，道路两旁摆满了桌子。这里算是城市的核心吧，每年5月举办猫之庆典时，中央广场就被装点得格外漂亮，游客人数也增加不少。,
SorumariStreet_desc,从火车站到鱼市场附近，是交通要道。报社、市政府等建筑物都在火车站附近，很是热闹,
ManticanStreet_desc,曼奇肯大道是主干道，左右两边都是经中央大桥出入城市的车辆。,
HabanaStreet_desc,在哈瓦那大道举行的猫咪马戏团街头表演很受欢迎！自由猫们穿梭在队伍里更是一绝,
LeeplePort_desc,越靠近利普尔港，海的气息就越浓厚，渔船一艘艘出现在眼前，充满港口风情,
Beach_desc,从海滩上空可以俯瞰整个中央广场，还能看到远处的城堡，风景一绝,
HillSundial_desc,和平公园坐落于此，通往日晷丘陵的阶梯两侧有很多精品店，很是热闹,
ZeconeForest_desc,位于诺贝尔克城堡南方的一大片森林，已经被指定为了国家公园,
NyanbelcForest_desc,由诺贝尔伯爵于14世纪兴建的城堡，至今仍保留着风貌，因此这座历史古城成了最著名的旅游经典,
SiberiaBakery_desc,据说这家店第一个老板养了一只西伯利亚猫，于是索性就把店名起做「西伯利亚」了,
CakeShop_desc,中央广场的一家蛋糕店，售卖着各式各样的蛋糕,
Theater_desc,结合了音乐厅、电影院、剧院等多功能设施，市民们经常来观赏演出,
NyantopiaCafe_desc,位于中央广场的咖啡店，连接着广场和索马里大道,
CrepeShop_desc,飘散着香甜的奶油香味，一只名叫“巧克力”的猫在椅子上打盹,
